n,k,time_method1_sec,comparisons_method1,time_method2_sec,comparisons_method2,k2_ref,klogk_ref
500,2,0.000009,997,0.000008,997,2000.00,1000.00
500,4,0.000071,4493,0.000030,3994,8000.00,4000.00
500,8,0.000129,17464,0.000108,11986,32000.00,12000.00
500,16,0.000157,67388,0.000199,31970,128000.00,32000.00
500,32,0.000602,262977,0.000472,79936,512000.00,80000.00
500,64,0.001577,1037327,0.001287,191858,2048000.00,192000.00
500,128,0.004943,4120184,0.002688,447742,8192000.00,448000.00
500,256,0.018057,16413726,0.006216,1023497,32768000.00,1024000.00
500,512,0.068795,65539125,0.014055,2303006,131072000.00,2304000.00
500,1024,0.264907,261884291,0.031566,5117957,524288000.00,5120000.00
