n,k,time_method1_sec,comparisons_method1,time_method2_sec,comparisons_method2,n_ref
200,64,0.000458,413794,0.000435,76668,200.00
400,64,0.001078,829262,0.000909,153466,400.00
800,64,0.001938,1661300,0.001742,307075,800.00
1600,64,0.003729,3324843,0.003430,614284,1600.00
3200,64,0.007658,6650772,0.007290,1228679,3200.00
6400,64,0.016351,13304071,0.015337,2457476,6400.00
12800,64,0.043242,26609118,0.033097,4915078,12800.00
25600,64,0.090317,53220519,0.071623,9830272,25600.00
51200,64,0.182753,106442692,0.148003,19660669,51200.00
102400,64,0.389333,212887514,0.297994,39321472,102400.00
